,sepal_length,sepal_width,petal_length,petal_width,target,tsne_1,tsne_2
0,5.1,3.5,1.4,0.2,setosa,-25.009882,-0.8063505
1,4.9,3.0,1.4,0.2,setosa,-22.348564,0.20532571
2,4.7,3.2,1.3,0.2,setosa,-22.510622,-0.9661839
3,4.6,3.1,1.5,0.2,setosa,-22.050419,-0.578019
4,5.0,3.6,1.4,0.2,setosa,-25.018085,-0.66158485
5,5.4,3.9,1.7,0.4,setosa,-27.064371,-0.16362718
6,4.6,3.4,1.4,0.3,setosa,-22.724272,-1.3597227
7,5.0,3.4,1.5,0.2,setosa,-24.323265,-0.40188488
8,4.4,2.9,1.4,0.2,setosa,-21.284622,-0.6533789
9,4.9,3.1,1.5,0.1,setosa,-22.90237,0.0029635495
10,5.4,3.7,1.5,0.2,setosa,-26.58626,-0.86677414
11,4.8,3.4,1.6,0.2,setosa,-23.712673,-0.02053056
12,4.8,3.0,1.4,0.1,setosa,-22.092016,-0.052071694
13,4.3,3.0,1.1,0.1,setosa,-21.197199,-1.2787055
14,5.8,4.0,1.2,0.2,setosa,-27.900648,-1.0020525
15,5.7,4.4,1.5,0.4,setosa,-28.101717,-0.43483776
16,5.4,3.9,1.3,0.4,setosa,-27.187891,-0.6421811
17,5.1,3.5,1.4,0.3,setosa,-25.110031,-0.52619725
18,5.7,3.8,1.7,0.3,setosa,-27.35014,-1.1450826
19,5.1,3.8,1.5,0.3,setosa,-26.174118,-0.089150116
20,5.4,3.4,1.7,0.2,setosa,-25.970695,-1.4872705
21,5.1,3.7,1.5,0.4,setosa,-25.8151,-0.05084803
22,4.6,3.6,1.0,0.2,setosa,-22.974092,-2.1675003
23,5.1,3.3,1.7,0.5,setosa,-24.708755,0.68156123
24,4.8,3.4,1.9,0.2,setosa,-23.798222,0.9122282
25,5.0,3.0,1.6,0.2,setosa,-22.797077,0.61198324
26,5.0,3.4,1.6,0.4,setosa,-24.610384,0.24239191
27,5.2,3.5,1.5,0.2,setosa,-25.500393,-0.7659508
28,5.2,3.4,1.4,0.2,setosa,-25.12041,-1.1383541
29,4.7,3.2,1.6,0.2,setosa,-22.756548,-0.38055483
30,4.8,3.1,1.6,0.2,setosa,-22.72798,0.15293135
31,5.4,3.4,1.5,0.4,setosa,-25.916117,-1.393896
32,5.2,4.1,1.5,0.1,setosa,-27.26511,0.124295354
33,5.5,4.2,1.4,0.2,setosa,-27.783651,-0.37172893
34,4.9,3.1,1.5,0.2,setosa,-22.965712,-0.03229551
35,5.0,3.2,1.2,0.2,setosa,-23.460537,-1.0282265
36,5.5,3.5,1.3,0.2,setosa,-26.433252,-1.5514811
37,4.9,3.6,1.4,0.1,setosa,-24.44719,-1.2648658
38,4.4,3.0,1.3,0.2,setosa,-21.419817,-0.95939785
39,5.1,3.4,1.5,0.2,setosa,-24.681362,-0.45966613
40,5.0,3.5,1.3,0.3,setosa,-24.559103,-1.0312063
41,4.5,2.3,1.3,0.3,setosa,-20.785458,-0.07183547
42,4.4,3.2,1.3,0.2,setosa,-21.79327,-1.3824712
43,5.0,3.5,1.6,0.6,setosa,-25.134966,0.6397078
44,5.1,3.8,1.9,0.4,setosa,-26.368595,0.7063732
45,4.8,3.0,1.4,0.3,setosa,-22.108316,-0.04489702
46,5.1,3.8,1.6,0.2,setosa,-26.257383,0.0043513137
47,4.6,3.2,1.4,0.2,setosa,-22.25871,-0.941751
48,5.3,3.7,1.5,0.2,setosa,-26.323116,-0.66918355
49,5.0,3.3,1.4,0.2,setosa,-23.901289,-0.6192981
50,7.0,3.2,4.7,1.4,versicolor,15.12297,-3.7692819
51,6.4,3.2,4.5,1.5,versicolor,14.394965,-2.2047293
52,6.9,3.1,4.9,1.5,versicolor,14.722208,-4.1306367
53,5.5,2.3,4.0,1.3,versicolor,14.514187,2.960671
54,6.5,2.8,4.6,1.5,versicolor,14.281052,-2.7456408
55,5.7,2.8,4.5,1.3,versicolor,13.72445,0.8212994
56,6.3,3.3,4.7,1.6,versicolor,13.660207,-2.3930626
57,4.9,2.4,3.3,1.0,versicolor,15.276827,4.3139763
58,6.6,2.9,4.6,1.3,versicolor,14.764487,-2.7901428
59,5.2,2.7,3.9,1.4,versicolor,14.091949,3.0684266
60,5.0,2.0,3.5,1.0,versicolor,14.980922,4.247546
61,5.9,3.0,4.2,1.5,versicolor,14.372837,0.36914268
62,6.0,2.2,4.0,1.0,versicolor,15.936564,2.1248853
63,6.1,2.9,4.7,1.4,versicolor,13.609345,-1.4604983
64,5.6,2.9,3.6,1.3,versicolor,15.550192,2.6988003
65,6.7,3.1,4.4,1.4,versicolor,15.125443,-2.7506478
66,5.6,3.0,4.5,1.5,versicolor,13.40228,0.75226426
67,5.8,2.7,4.1,1.0,versicolor,15.145077,1.7247397
68,6.2,2.2,4.5,1.5,versicolor,12.051664,-0.55150366
69,5.6,2.5,3.9,1.1,versicolor,15.00169,2.673329
70,5.9,3.2,4.8,1.8,versicolor,12.232901,-2.2342942
71,6.1,2.8,4.0,1.3,versicolor,15.19404,0.7553611
72,6.3,2.5,4.9,1.5,versicolor,12.801654,-3.4013367
73,6.1,2.8,4.7,1.2,versicolor,13.791784,-1.110543
74,6.4,2.9,4.3,1.3,versicolor,14.889131,-1.5179119
75,6.6,3.0,4.4,1.4,versicolor,14.973819,-2.4369428
76,6.8,2.8,4.8,1.4,versicolor,14.600883,-3.674339
77,6.7,3.0,5.0,1.7,versicolor,13.8906765,-4.717925
78,6.0,2.9,4.5,1.5,versicolor,13.782871,-0.69091606
79,5.7,2.6,3.5,1.0,versicolor,15.666569,3.152032
80,5.5,2.4,3.8,1.1,versicolor,14.989738,3.1390405
